GeneID,GSM3024820,GSM3024822,GSM3024824,GSM3024826,GSM3024828,GSM3024830,GSM3024832,GSM3024834,GSM3024836,GSM3024838,GSM3024840,GSM3024842,GSM3024844,GSM3024846,GSM3024848,GSM3024850,GSM3024852,GSM3024854,GSM3024856,GSM3024858,GSM3024860,GSM3024863
105376351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06141,0,0,0,0,0,0,0
107983989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09107,0,0,0,0,0
105376350,0,0.1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376352,0,0.01608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101927824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02803,0,0,0,0,0
5214,17.89,16.62,25.71,33.92,25.87,22.58,6.894,32.93,15.29,26.41,24.56,2.8,13.3,11.88,10.39,5.021,2.473,0.007271,8.585,11.29,9.648,17.5
106633806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2901,0,0,0,0,0,0.06799,0,0
10531,0.5282,17.06,17.17,0.5787,6.146,19.93,13.36,9.043,11.82,16.72,13.24,13.17,24.26,21.5,9.97,8.964,16.31,0.1663,1.341,35.08,27.95,15.68
100507034,0.009346,1.157,1.92,0.6053,2.667,2.952,0,0.9986,1.902,1.795,2.24,0.005335,2.57,2.337,0.6539,0.04597,5.457,0.007357,1.387,2.501,4.175,5.269
105376354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376353,0,0,0,0,0,0,0.01853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107987146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,0,0
105376360,0,0,0,0.2303,0.03735,0,0,0.08505,0,0,0,0,0,0,0,0.08369,0,0,0,0,0,0
105376358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101927880,0,0,0,0,0.03111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984192,0,0,0.002794,0,0,0,0,0,0.01258,0.002363,0,0,0,0,0,0,0,0,0,0.001709,0,0
107984193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376361,0.1154,0.1732,0,0,0.01688,0,0,0,0,0,0,0,0,0,0.005276,0.1892,0.01382,0,0.1201,0.002677,0,0
105376363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09617,0,0,0,0,0
1316,257.2,18.68,99.71,338.6,27.77,286,112.9,80.17,47.84,117.5,95.31,7.827,69.37,80.17,53.69,36.23,43.35,35.19,19.59,50.96,22.01,28.43
105376364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1217,0,0,0,0,0
